,CV AUC,Test AUC,Gap,Accuracy,F1 macro
Random Forest,0.8608 +/- 0.0394,0.8754,-0.0145,0.8143,0.7620
XGBoost,0.8784 +/- 0.0372,0.9116,-0.0332,0.8100,0.7596
